43,0 32.470.456.288 6.000 5.411.742,0 5.397.024,0 5.383.264 13.129.856 262.150,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.128.684.832 6.000 5.354.780,0 5.328.512,0 5.309.312 13.129.824 271.783,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.592.714.336 6.000 5.432.119,0 5.396.560,0 5.381.152 13.124.864 413.528,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.511.745.600 6.000 5.418.624,0 5.396.768,0 5.382.944 16.634.528 342.920,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.512.793.984 6.000 5.418.799,0 5.396.352,0 5.380.160 16.192.736 345.252,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.173.308.736 6.000 5.362.218,0 5.327.264,0 5.309.472 13.131.296 317.686,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.516.835.904 6.000 5.419.472,0 5.397.984,0 5.383.168 13.692.480 329.927,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.135.174.400 6.000 5.355.862,0 5.329.760,0 5.309.280 13.125.664 249.939,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.594.300.192 6.000 5.432.383,0 5.398.624,0 5.384.992 15.350.528 420.520,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.471.177.472 6.000 5.411.862,0 5.400.224,0 5.382.944 13.129.248 230.005,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.450.383.968 6.000 5.408.397,0 5.396.800,0 5.382.144 13.135.168 229.177,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.453.668.800 6.000 5.408.944,0 5.397.088,0 5.381.920 13.127.776 227.452,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.489.130.688 6.000 5.414.855,0 5.396.640,0 5.381.856 13.135.744 290.289,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.501.854.464 6.000 5.416.975,0 5.398.304,0 5.384.032 13.133.728 297.470,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
