42,0 913.632.032 1.023 893.090,0 830.368,0 799.904 1.784.384 187.621,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 934.025.152 1.023 913.025,0 829.952,0 801.440 1.819.712 224.109,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 969.310.944 1.023 947.518,0 819.360,0 791.200 1.900.928 288.190,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 924.017.088 1.023 903.242,0 830.464,0 798.208 1.934.336 223.288,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 913.819.744 1.023 893.274,0 829.696,0 797.984 1.826.816 189.347,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 918.624.288 1.023 897.971,0 829.184,0 799.488 1.865.696 199.701,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 933.181.504 1.023 912.200,0 829.856,0 796.928 1.894.912 221.255,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 929.921.760 1.023 909.014,0 818.784,0 787.808 1.849.696 229.835,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 930.087.968 1.023 909.176,0 830.464,0 797.984 1.863.072 220.498,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 941.781.120 1.023 920.607,0 819.744,0 790.240 1.899.552 267.598,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 943.824.608 1.023 922.604,0 830.048,0 801.280 1.843.072 238.702,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 981.349.440 1.023 959.285,0 830.304,0 796.128 2.024.928 293.824,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.451.680 1.023 907.577,0 819.776,0 787.232 1.877.568 229.614,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 919.688.864 1.023 899.011,0 829.920,0 796.256 1.862.688 198.654,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 930.583.392 1.023 909.661,0 819.296,0 790.688 1.926.304 234.227,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 912.612.768 1.023 892.094,0 819.264,0 790.816 1.869.632 214.837,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 915.523.264 1.023 894.939,0 829.504,0 800.480 1.760.256 166.048,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 978.932.544 1.023 956.923,0 830.208,0 796.096 1.930.624 291.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 924.027.936 1.023 903.253,0 830.656,0 802.400 1.901.504 206.669,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 966.267.328 1.023 944.542,0 831.136,0 798.080 1.831.104 265.779,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 907.227.712 1.023 886.830,0 818.976,0 790.624 1.929.472 200.135,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 969.134.624 1.023 947.345,0 829.920,0 799.552 1.850.176 267.766,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 952.483.072 1.023 931.068,0 829.984,0 795.552 1.868.288 247.929,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 925.345.344 1.023 904.540,0 828.800,0 802.048 1.883.104 203.659,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 926.938.464 1.023 906.098,0 829.120,0 798.560 1.878.240 207.429,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 922.742.560 1.023 901.996,0 829.888,0 793.408 1.888.800 211.551,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 963.138.080 1.023 941.483,0 819.328,0 787.904 1.868.160 264.517,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 927.322.816 1.023 906.473,0 830.624,0 799.648 1.839.296 209.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 932.249.312 1.023 911.289,0 819.552,0 792.672 1.902.880 231.187,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 923.790.240 1.023 903.020,0 830.432,0 799.200 1.919.584 216.358,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 911.730.720 1.023 891.232,0 819.776,0 787.136 1.881.344 212.173,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 906.707.776 1.023 886.322,0 819.808,0 787.456 1.898.048 193.926,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 943.124.896 1.023 921.920,0 819.104,0 790.752 1.864.992 250.581,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 978.740.800 1.023 956.735,0 830.016,0 795.552 1.874.912 285.599,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 914.279.424 1.023 893.723,0 819.616,0 788.992 1.885.504 201.874,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 926.268.736 1.023 905.443,0 830.976,0 801.664 1.911.328 221.996,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 941.188.832 1.023 920.028,0 830.528,0 798.560 1.893.248 240.554,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 934.846.784 1.023 913.828,0 830.112,0 801.344 1.997.632 242.747,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 938.713.696 1.023 917.608,0 830.432,0 798.560 1.849.344 221.833,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 918.287.776 1.023 897.642,0 830.944,0 803.072 1.861.376 194.327,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 912.419.968 1.023 891.906,0 819.776,0 790.208 1.854.112 194.867,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 954.360.384 1.023 932.903,0 830.688,0 799.488 1.907.616 268.868,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 913.426.464 1.023 892.890,0 819.232,0 789.344 1.956.640 212.462,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 946.193.216 1.023 924.920,0 830.400,0 801.344 1.992.384 257.958,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 929.857.280 1.023 908.951,0 819.552,0 791.776 1.878.336 235.550,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 987.780.096 1.023 965.571,0 829.984,0 803.648 1.902.240 306.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 919.165.920 1.023 898.500,0 820.384,0 790.048 1.916.608 212.597,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 932.526.080 1.023 911.560,0 819.904,0 790.112 1.859.872 236.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 918.020.768 1.023 897.381,0 831.008,0 800.864 1.868.800 192.852,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 955.741.728 1.023 934.253,0 819.712,0 792.032 1.891.360 280.121,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 942.669.248 1.023 921.475,0 830.784,0 800.288 1.923.072 235.308,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 930.300.352 1.023 909.384,0 819.392,0 787.328 1.893.536 247.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 950.521.760 1.023 929.151,0 830.144,0 800.032 1.879.840 238.534,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 927.214.592 1.023 906.368,0 820.416,0 791.040 1.869.504 228.621,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 941.879.488 1.023 920.703,0 830.944,0 799.776 1.894.720 229.817,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 982.607.008 1.023 960.515,0 819.840,0 792.704 1.930.048 317.021,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 982.823.648 1.023 960.726,0 819.360,0 787.360 1.858.624 305.759,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 920.628.448 1.023 899.930,0 820.096,0 791.392 1.886.080 214.593,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 914.594.720 1.023 894.032,0 820.224,0 786.080 1.923.904 205.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 904.599.872 1.023 884.261,0 819.328,0 790.400 1.885.408 199.318,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 918.709.696 1.023 898.054,0 830.432,0 799.104 1.908.864 184.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 935.040.608 1.023 914.018,0 829.824,0 795.232 1.876.288 236.414,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 948.144.096 1.023 926.827,0 829.504,0 794.816 1.910.784 234.419,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 941.638.112 1.023 920.467,0 829.984,0 802.432 1.897.856 239.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 920.166.400 1.023 899.478,0 830.240,0 799.424 1.907.712 192.061,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 933.318.688 1.023 912.335,0 829.376,0 798.624 1.901.504 223.207,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 912.947.520 1.023 892.421,0 819.744,0 789.248 1.886.880 210.245,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 957.943.040 1.023 936.405,0 830.368,0 802.016 1.882.368 259.978,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 926.617.024 1.023 905.784,0 829.824,0 801.408 1.879.488 208.045,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
