0,0 8.995.488 1.023 8.793,0 7.808,0 4.224 30.752 3.691,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.071.488 1.023 9.845,0 8.448,0 4.928 27.744 3.768,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.146.240 1.023 6.985,0 7.136,0 4.960 26.208 1.123,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.697.216 1.023 9.479,0 7.648,0 4.160 38.528 4.398,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.660.064 1.023 12.375,0 13.088,0 5.120 29.696 2.863,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.462.976 1.023 9.250,0 8.352,0 4.896 26.688 3.479,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.145.088 1.023 7.962,0 7.136,0 4.096 26.848 3.135,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.812.000 1.023 12.523,0 12.736,0 7.648 26.080 2.342,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.796.736 1.023 12.509,0 12.544,0 7.488 26.336 2.415,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.700.192 1.023 8.504,0 7.392,0 4.192 25.952 3.575,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.460.576 1.023 8.270,0 8.320,0 4.128 30.912 3.075,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.618.624 1.023 8.424,0 7.744,0 4.128 26.304 3.368,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.516.064 1.023 8.324,0 8.512,0 4.992 33.728 2.364,0 CUDA_KERNEL Fan1(float *, float *, int, int)
