1,0 68.768 8 8.596,0 8.432,0 8.096 9.568 489,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.584 8 8.448,0 8.368,0 7.968 9.088 347,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.896 8 8.612,0 8.304,0 7.872 10.304 817,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.624 8 8.828,0 8.880,0 7.936 10.208 704,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.792 8 8.724,0 8.592,0 7.904 9.600 631,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.648 8 8.456,0 8.288,0 7.904 9.600 544,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.128 8 8.516,0 8.352,0 8.000 9.152 412,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.376 8 8.672,0 8.416,0 7.872 9.792 727,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.272 8 8.784,0 8.432,0 7.904 10.624 907,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.960 8 8.620,0 8.320,0 7.840 9.856 677,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 71.168 8 8.896,0 8.912,0 7.904 9.664 715,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.016 8 8.752,0 8.448,0 7.872 9.600 692,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.192 8 8.524,0 8.304,0 7.872 9.568 640,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.432 8 8.804,0 8.576,0 7.936 9.856 687,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.472 8 8.684,0 8.704,0 7.840 9.344 488,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.152 8 8.644,0 8.512,0 7.872 9.408 572,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.688 8 8.836,0 8.704,0 7.872 10.304 797,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 39.808 8 4.976,0 5.296,0 4.000 5.696 660,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 66.720 8 8.340,0 8.368,0 7.904 8.608 219,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.912 8 8.864,0 8.480,0 8.288 9.888 696,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.792 8 8.724,0 8.496,0 7.936 10.048 757,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.888 8 8.736,0 8.320,0 7.872 10.400 962,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.072 8 8.384,0 8.448,0 7.872 8.832 342,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 69.408 8 8.676,0 8.304,0 7.904 10.432 830,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.704 8 8.588,0 8.320,0 7.872 9.664 622,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.288 8 8.536,0 8.448,0 7.904 9.152 429,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.936 8 8.492,0 8.560,0 7.904 8.800 311,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 70.592 8 8.824,0 8.672,0 7.904 9.760 684,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.744 8 8.468,0 8.288,0 7.840 10.048 687,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 68.960 8 8.620,0 8.448,0 7.872 10.368 759,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 67.872 8 8.484,0 8.448,0 7.904 9.120 480,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
