5,0 4.180.352 12 348.362,0 310.304,0 294.688 479.136 76.840,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.163.584 12 346.965,0 309.664,0 294.720 469.760 74.539,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.178.272 12 348.189,0 311.920,0 296.288 475.136 74.829,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.175.584 12 347.965,0 310.816,0 296.736 471.200 73.658,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.648 12 347.304,0 310.800,0 296.320 468.160 73.198,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.185.664 12 348.805,0 311.840,0 296.320 474.848 75.326,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.170.656 12 347.554,0 310.384,0 294.944 473.472 75.221,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.154.976 12 346.248,0 310.192,0 293.984 469.600 73.843,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.173.568 12 347.797,0 309.696,0 294.816 472.416 75.353,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.169.984 12 347.498,0 309.712,0 294.976 472.384 75.107,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.161.472 12 346.789,0 308.976,0 294.848 470.368 74.403,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.183.232 12 348.602,0 310.976,0 297.600 478.304 74.110,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.252.640 12 354.386,0 314.000,0 306.176 478.976 72.452,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.162.432 12 346.869,0 309.392,0 294.656 472.352 75.087,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.152.928 12 346.077,0 308.992,0 294.624 468.672 73.698,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.178.816 12 348.234,0 310.912,0 295.264 474.656 75.380,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
