46,0 943.310.784 10 94.331.078,0 92.452.176,0 86.908.640 111.869.728 6.852.943,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.098.516.544 10 109.851.654,0 91.670.976,0 86.683.424 204.074.560 38.193.374,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.087.910.272 10 108.791.027,0 96.785.120,0 86.806.624 135.542.944 20.560.655,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 993.922.656 10 99.392.265,0 93.884.160,0 88.913.824 128.201.376 12.116.281,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.610.368 10 92.261.036,0 91.671.568,0 87.027.968 98.622.048 3.417.792,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 985.501.600 10 98.550.160,0 92.531.376,0 87.049.600 143.373.728 16.353.463,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.466.901.760 10 146.690.176,0 150.443.632,0 86.898.176 222.566.848 51.945.213,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 982.150.240 10 98.215.024,0 92.154.720,0 86.789.312 153.110.784 19.505.101,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 983.881.632 10 98.388.163,0 93.311.424,0 86.622.752 148.689.568 17.977.097,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.025.568 10 96.902.556,0 92.871.104,0 86.945.088 133.784.960 13.341.719,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 991.549.184 10 99.154.918,0 92.254.112,0 86.881.504 154.251.424 19.926.803,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 921.990.816 10 92.199.081,0 91.682.992,0 86.819.232 98.494.144 3.421.718,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 918.934.720 10 91.893.472,0 91.616.896,0 86.801.376 98.532.480 3.271.761,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 973.380.544 10 97.338.054,0 92.210.816,0 86.750.688 145.418.592 17.134.489,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.451.424 10 92.245.142,0 91.695.984,0 86.752.288 98.520.736 3.426.425,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 987.401.408 10 98.740.140,0 92.489.552,0 86.829.056 155.071.552 20.025.244,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 973.951.680 10 97.395.168,0 92.574.864,0 86.975.904 120.017.984 10.617.634,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 947.043.392 10 94.704.339,0 92.462.992,0 86.969.440 115.220.096 7.810.676,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.035.443.840 10 103.544.384,0 93.787.232,0 86.802.112 175.173.856 26.569.350,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.003.157.472 10 100.315.747,0 92.038.560,0 86.916.128 169.882.720 24.651.841,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.011.977.120 10 101.197.712,0 94.021.184,0 86.849.664 154.088.352 19.633.053,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.826.426.784 10 182.642.678,0 179.631.488,0 133.703.104 225.676.992 29.832.237,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 991.070.848 10 99.107.084,0 93.764.848,0 86.861.568 140.643.712 15.721.536,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.132.101.152 10 113.210.115,0 91.013.840,0 85.770.720 194.177.504 41.947.438,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
