1,0 45.056 2 22.528,0 22.528,0 18.496 26.560 5.702,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.088 2 22.544,0 22.544,0 17.920 27.168 6.539,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.928 2 22.464,0 22.464,0 18.464 26.464 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.832 2 22.416,0 22.416,0 17.984 26.848 6.267,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.824 2 22.912,0 22.912,0 19.200 26.624 5.249,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.096 2 22.048,0 22.048,0 17.760 26.336 6.064,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 82.784 2 41.392,0 41.392,0 35.744 47.040 7.987,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 78.368 2 39.184,0 39.184,0 35.840 42.528 4.729,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.920 2 22.960,0 22.960,0 18.464 27.456 6.358,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.120 2 22.560,0 22.560,0 18.304 26.816 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.720 2 23.360,0 23.360,0 18.848 27.872 6.380,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.888 2 22.944,0 22.944,0 18.592 27.296 6.154,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.928 2 22.464,0 22.464,0 18.496 26.432 5.611,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.480 2 22.240,0 22.240,0 18.016 26.464 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.608 2 22.304,0 22.304,0 18.080 26.528 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.576 2 22.288,0 22.288,0 17.824 26.752 6.313,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.344 2 22.672,0 22.672,0 18.016 27.328 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.312 2 22.656,0 22.656,0 18.624 26.688 5.702,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.728 2 22.864,0 22.864,0 18.720 27.008 5.860,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.760 2 22.880,0 22.880,0 18.336 27.424 6.426,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.104 2 39.552,0 39.552,0 35.872 43.232 5.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.960 2 22.480,0 22.480,0 18.368 26.592 5.815,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.344 2 22.672,0 22.672,0 18.272 27.072 6.222,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 80.640 2 40.320,0 40.320,0 36.960 43.680 4.751,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.376 2 22.688,0 22.688,0 18.272 27.104 6.245,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 50.208 2 25.104,0 25.104,0 21.440 28.768 5.181,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
