6.1 34127328 100 341273.3 341344.0 339296 342624 706.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34133920 100 341339.2 341440.0 339328 342880 750.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34122688 100 341226.9 341136.0 339232 343104 731.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34136576 100 341365.8 341392.0 339616 343200 694.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34136896 100 341369.0 341360.0 339776 342720 630.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34134112 100 341341.1 341280.0 339776 343168 682.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34140416 100 341404.2 341376.0 339712 343552 748.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34136640 100 341366.4 341440.0 339872 342912 665.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 33888512 100 338885.1 338896.0 336032 341888 1564.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34136704 100 341367.0 341344.0 339904 342784 672.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.4 35658816 100 356588.2 341392.0 339264 578400 55921.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34126528 100 341265.3 341248.0 339648 342976 728.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34088896 100 340889.0 341136.0 338176 342880 1136.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34136224 100 341362.2 341440.0 339712 342816 688.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.5 25762464 100 257624.6 203264.0 197120 342912 68583.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34124640 100 341246.4 341248.0 339136 342688 673.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34125472 100 341254.7 341296.0 339232 342880 709.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.1 21457472 100 214574.7 201120.0 196640 340192 41870.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34121344 100 341213.4 341248.0 339744 342688 621.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34133792 100 341337.9 341312.0 339648 342720 694.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34126560 100 341265.6 341232.0 339744 343040 594.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
